industry_l1_id,industry_l2_id,id,name
744,3,1,Khoa học môi trường
734,3,1,Kế toán
762,1,1,Nông nghiệp
746,1,1,Toán học
764,1,1,Thú y
772,1,1,Y khoa
732,2,1,Thông tin - Thư viện
758,3,1,Kinh tế xây dựng
772,2,1,Dược học
734,4,1,Khoa học quản lý
772,3,1,Điều dưỡng
722,1,1,Tiếng Việt và văn hóa Việt Nam
772,4,1,Dinh dưỡng
732,1,1,Báo chí
748,2,0,Kỹ thuật - Hậu cần
786,1,0,Nghiệp vụ an ninh
